ChainName,PrimaryCategory
"Domino's Pizza Indonesia",Restaurant - QSR/Fast Food
"Domino's Pizza Ireland",Restaurant - QSR/Fast Food
"Domino's Pizza Israel",Restaurant - QSR/Fast Food
"Domino's Pizza Italy",Restaurant - QSR/Fast Food
"Domino's Pizza Japan",Restaurant - QSR/Fast Food
"Domino's Pizza Jordan",Restaurant - QSR/Fast Food
"Domino's Pizza Kenya",Restaurant - QSR/Fast Food
"Domino's Pizza Korea",Restaurant - QSR/Fast Food
"Domino's Pizza Kosovo",Restaurant - QSR/Fast Food
"Domino's Pizza Lebanon",Restaurant - QSR/Fast Food
"Domino's Pizza Malaysia",Restaurant - QSR/Fast Food
"Domino's Pizza Mauritius",Restaurant - QSR/Fast Food
"Domino's Pizza Mexico",Restaurant - QSR/Fast Food
"Domino's Pizza Morocco",Restaurant - QSR/Fast Food
"Domino's Pizza Netherlands",Restaurant - QSR/Fast Food
"Domino's Pizza New Zealand",Restaurant - QSR/Fast Food
"Domino's Pizza Nigeria",Restaurant - QSR/Fast Food
"Domino's Pizza Oman",Restaurant - QSR/Fast Food
"Domino's Pizza Pakistan",Restaurant - QSR/Fast Food
"Domino's Pizza Panama",Restaurant - QSR/Fast Food
"Domino's Pizza Peru",Restaurant - QSR/Fast Food
"Domino's Pizza Philippines",Restaurant - QSR/Fast Food
"Domino's Pizza Poland",Restaurant - QSR/Fast Food
"Domino's Pizza Portugal",Restaurant - QSR/Fast Food
"Domino's Pizza Puerto Rico",Restaurant - QSR/Fast Food
"Domino's Pizza Qatar",Restaurant - QSR/Fast Food
"Domino's Pizza Russia",Restaurant - QSR/Fast Food
"Domino's Pizza Saudi Arabia",Restaurant - QSR/Fast Food
"Domino's Pizza Singapore",Restaurant - QSR/Fast Food
"Domino's Pizza Slovakia",Restaurant - QSR/Fast Food
"Domino's Pizza Spain",Restaurant - QSR/Fast Food
"Domino's Pizza Sweden",Restaurant - QSR/Fast Food
"Domino's Pizza Switzerland",Restaurant - QSR/Fast Food
"Domino's Pizza Taiwan",Restaurant - QSR/Fast Food
"Domino's Pizza Thailand",Restaurant - QSR/Fast Food
"Domino's Pizza Turkey",Restaurant - QSR/Fast Food
"Domino's Pizza UAE",Restaurant - QSR/Fast Food
"Domino's Pizza UK",Restaurant - QSR/Fast Food
"Domino's Pizza Vietnam",Restaurant - QSR/Fast Food
"Domino's South Africa",Restaurant - QSR/Fast Food
Dominos Nigeria,Restaurant - QSR/Fast Food
Dominos Panama,Restaurant - QSR/Fast Food
Dominos Romania,Restaurant - QSR/Fast Food
Dominos Venezuela,Restaurant - QSR/Fast Food
Domo,Gas Stations
Domoishi,Restaurant - Casual
Don Juan Mex Grill,Restaurant - Fast Casual
"Don Pablo's",Restaurant - Casual
Don Roberto Jewelers,Jewelry
Donahue Shriber,Commercial Properties
Donatos Pizzeria,Restaurant - QSR/Fast Food
"Donelan's Supermarkets",Grocery
Doner Kebab,Restaurant - QSR/Fast Food
"Donna's Caribbean Restaurant",Restaurant - Casual
Donnee Par Dieu,Clothing - Womens
"Doodle Bugs! Children's Center",Child Care
Dookki,Restaurant - Casual
Dooney and Bourke,Clothing - Womens
Doris Italian Market,Grocery
Dorothy Perkins,Clothing - Womens
Dorothy Perkins - Distributor Locations,Clothing - Womens
Dos Coyotes Border Cafe,Restaurant - Casual
Dos Toros Taqueria,Restaurant - Fast Casual
Dot Coffee Shop,Restaurant - Coffee/Tea
Double Pizza,Restaurant - QSR/Fast Food
"DoubleDave's Pizzaworks",Restaurant - QSR/Fast Food
DoubleTree by Hilton,Hotels
Dough Zone Dumpling,Restaurant - Family
Douglas,Cosmetics + Beauty Supplies
Dr. Bernstein Diet & Health Clinics,Weight Loss
Dr. Dental,Dental
Dr. Mark Lynn & Associates,Optical
Dr. Martens,Footwear
Draeger Supermarkets,Grocery
Drakes Supermarkets Australia,Grocery
Draper James,Clothing - Womens
Drayer Physical Therapy Institute,Physical Therapy + Rehabilitation
Dream Dinners,Grocery
Dressbarn,Clothing - Womens
Drive & Shine Express Car Wash,Car Wash
Drive Shack,Sports + Recreation
DriveTime,New/Used Car Dealers
"Driver's Edge","Auto Service, Parts, + Tires"
Drnk Coffee + Tea,Restaurant - Coffee/Tea
Drug Emporium,Drug Stores + Pharmacies
Drury Hotels,Hotels
"Druxy's Famous Deli",Restaurant - QSR/Fast Food
Dry Goods,Clothing - Family/Unisex
Drybar,Hair
Duane Reade,Drug Stores + Pharmacies
Ducati,New/Used Car Dealers
Duchess Restaurants,Restaurant - Casual
Duchess Shoppe,Convenience Store
Duck Donuts,Restaurant - Bakery/Desserts
"Duffy's",Restaurant - Casual
Dufresne,Furnishings
"Duke's Chowder House",Restaurant - Casual
Duluth Trading,Clothing - Mens
Dulux Canada,Home Improvement + Building Supplies
Dulux UK,Home Improvement + Building Supplies
Duly Health and Care,"Hospitals, Urgent Care, + Doctors"
"Dunham's Sports",Sports + Recreation
Dunhill Partners,Commercial Properties
"Dunkin' Donuts",Restaurant - Coffee/Tea
"Dunkin' Donuts Canada",Restaurant - Bakery/Desserts
Dunn Bros Coffee,Restaurant - Coffee/Tea
Dunn Edwards,Home Improvement + Building Supplies
Dunn Edwards - Distributor Locations,Home Improvement + Building Supplies
Dunn Tire,"Auto Service, Parts, + Tires"
Dutch Bros Coffee,Restaurant - Coffee/Tea
Dutchway Farm Market,Grocery
Dynamic Fitness,Gyms + Fitness Facilities
Dynamite Clothing,Clothing - Womens
E-Z Mart,Convenience Store
"E-Z Wash ",Cleaning
E.W. James & Sons,Grocery
EB Games,Computers + Consumer Electronics
ECCO,Footwear
ECHO Retail,Commercial Properties
EDENS,Commercial Properties
EDGE Express Car Wash,Car Wash
EOS Fitness,Gyms + Fitness Facilities
EP Fitness,Gyms + Fitness Facilities
EQ3,Home + Housewares
EROSKI,Grocery
ETS Performance,Gyms + Fitness Facilities
EVEN Hotels,Hotels
EVgo Charging Stations,EV Charging Stations
EXOS,Gyms + Fitness Facilities
EZ Rentals,Furnishing Rentals
EZPAWN,Used Products
Eagle,Grocery
Eagle Stop,Gas Stations
Eagle Transmission,"Auto Service, Parts, + Tires"
Earl of Sandwich,Restaurant - QSR/Fast Food
Earls Restaurants,Restaurant - Casual
Earth Fare,Grocery
Earth Origins Market,Grocery
EarthWise Pet Supply,Pet Stores + Supplies
Earthbar,Restaurant - Juice Bars
Earthbound,Clothing - Family/Unisex
East Bay Tire,"Auto Service, Parts, + Tires"
East Coast,Gas Stations
East Coast Metal Distributors,Home Improvement + Building Supplies
East Coast Wings + Grill,Restaurant - Fast Casual
East Hampton Sandwich Co.,Restaurant - Fast Casual
"East Side Mario's",Restaurant - Casual
East Texas Professional Credit Union,Banks + Financial Services
East West Bank,Banks + Financial Services
East of Chicago,Restaurant - Casual
Eastern Mountain Sports,Sports + Recreation
Eastlink,Communications
Easy Pickins,Clothing - Womens
Easy Vet,Pet Health + Care
Eat the Frog Fitness,Gyms + Fitness Facilities
"Eat'n Park",Restaurant - QSR/Fast Food
Eataly,Restaurant - Fast Casual
Eatsa,Restaurant - Fast Casual
Eatzi?s,Restaurant - Fast Casual
Eberjey,Clothing - Womens
Eblens,Clothing - Family/Unisex
EchoPark,New/Used Car Dealers
Eclipse Stores,Clothing - Family/Unisex
Econo Auto Painting,"Auto Service, Parts, + Tires"
Econo Lodge,Hotels
"Econo Lube N' Tune","Auto Service, Parts, + Tires"
Econofitness,Gyms + Fitness Facilities
Econofoods,Grocery
Eddie Bauer,Clothing - Family/Unisex
Eddie Merlot?s,Restaurant - Fine Dining
"Eddie V's Prime Seafood",Restaurant - Fine Dining
Edea Skates,Sports + Recreation
Edible Arrangements,Gifts
Edition Hotels,Hotels
Edo Japan,Restaurant - QSR/Fast Food
Edward Rose & Sons,Commercial Properties
Edward-Elmhurst Health,"Hospitals, Urgent Care, + Doctors"
Edwards Food Giant,Grocery
Edwards Theatres,Theatres
Edwin Watts Golf Shops,Sports + Recreation
"Eegee's",Restaurant - QSR/Fast Food
Egg Harbor Café,Restaurant - Casual
Eggs Up Grill,Restaurant - Casual
Eggsmart,Restaurant - QSR/Fast Food
Eggsquis Restaurant,Restaurant - Bar/Pub
Eggstasy,Restaurant - Casual
Eighteen Eight Fine Mens Salons,Hair
Eileen Fisher,Clothing - Womens
Einstein Brothers,Restaurant - Coffee/Tea
El Ahorro Supermarket,Grocery
El Bodegon Supermarkets,Grocery
El Car Wash,Car Wash
El Chico Cafe,Restaurant - Casual
El Corral Colombia,Restaurant - QSR/Fast Food
El Corte Inglés,Department Store
El Dorado Furniture,Furnishings
El Famous Burrito,Restaurant - QSR/Fast Food
El Fenix,Restaurant - Casual
El Meson Sandwiches,Restaurant - Fast Casual
El Mezquite Market,Grocery
El Pollo Loco,Restaurant - QSR/Fast Food
El Pollo Loco Mexico,Restaurant - QSR/Fast Food
El Pollo Regio,Restaurant - Fast Casual
El Rancho Supermercado,Grocery
El Rio Grande,Grocery
El Super,Grocery
El Torito,Restaurant - Casual
El Vaquero,Restaurant - Casual
Elder-Beerman,Department Store
Electric Bike Company,Sports + Recreation
Electrify America,EV Charging Stations
Electronic Express,Computers + Consumer Electronics
Elegant Beauty Supplies,Cosmetics + Beauty Supplies
Elektra,Mass Merchant
Element Dental Partners,Dental
Element by Westin,Hotels
Elements Therapeutic Massage,"Spa, Massage, + Esthetics"
Elephant Bar,Restaurant - Casual
Elevate ENT Partners,"Hospitals, Urgent Care, + Doctors"
Elevate Trampoline Park,Amusement
Elevation Burger,Restaurant - Fast Casual
Elevations Credit Union,Banks + Financial Services
Elf Cosmetics,Cosmetics + Beauty Supplies
"Eli's Barbeque",Restaurant - Fast Casual
Elie Tahari,Clothing - Womens
Elite Body Sculpture,Misc. Health Supplies + Services
Elite Home Health,Senior Living
Elixir Juice Bar,Restaurant - Juice Bars
Ellianos Coffee,Restaurant - Coffee/Tea
"Elliott's Hardware",Home Improvement + Building Supplies
Elmcroft Senior Living,Senior Living
"Elmer's Restaurants",Restaurant - Casual
EmUrgentCare,"Hospitals, Urgent Care, + Doctors"
Emagine Entertainment,Theatres
Embassy Suites Hotels,Hotels
Emerald City Smoothie,Restaurant - Juice Bars
Emler Swim School,"Schools, Tutoring, + Education"
Emmy Squared,Restaurant - Casual
Emory Healthcare,"Hospitals, Urgent Care, + Doctors"
Emory Rehabilitation Outpatient Center,Physical Therapy + Rehabilitation
Empire Vision Centers,Optical
Encompass Health,Physical Therapy + Rehabilitation
Encore Vet Group,"Hospitals, Urgent Care, + Doctors"
Energie Cardio,Gyms + Fitness Facilities
English Color,Home Improvement + Building Supplies
Enlivant,Senior Living
Enterprise Rent-A-Car,Car + Truck Rentals
Enterprise Truck Rental,Car + Truck Rentals
Envision Financial,Banks + Financial Services
Epic Real Estate Partners,Commercial Properties
Epic Wings,Restaurant - QSR/Fast Food
"Epic Wings N' Things",Restaurant - QSR/Fast Food
Equinox Fitness Clubs,Gyms + Fitness Facilities
Equipment Share,Agricultural and Industrial Equipment + Supplies
"Erbert & Gerbert's",Restaurant - QSR/Fast Food
Erewhon Market,Grocery
Erickson Living,Misc. Health Supplies + Services
Erie Insurance Auto Repair Shops,"Auto Service, Parts, + Tires"
"Erik's DeliCafé",Restaurant - Fast Casual
Ermenegildo Zegna,Clothing - Mens
Ershig Properties,Commercial Properties
Escapology,Amusement
Escents,Senior Living
Esmer Tile,Home Improvement + Building Supplies
Esplendor Boutique Hotels,Hotels
Esporta Fitness,Gyms + Fitness Facilities
Esprit,Clothing - Womens
Esprit - Distributor Locations,Clothing - Womens
Essence Cannabis,Cannabis Retail
Essendant,Cleaning
Essilor USA,Optical
Esso,Gas Stations
Estes Express Lines,Shipping
Estée Lauder,Cosmetics + Beauty Supplies
Esurance Auto Repair Shops,"Auto Service, Parts, + Tires"
Ethan Allen,Furnishings
Ethos Vet,"Hospitals, Urgent Care, + Doctors"
Eureka Pizza,Restaurant - Fast Casual
Eureka!,Restaurant - Fast Casual
Europcar,Car + Truck Rentals
European Wax Center,"Spa, Massage, + Esthetics"
Evans,Clothing - Womens
Evans - Distributor Locations,Clothing - Womens
Evans Tire & Service Centers,"Auto Service, Parts, + Tires"
Even Stevens Sandwiches,Restaurant - QSR/Fast Food
Everbody,"Spa, Massage, + Esthetics"
Everbowl,Restaurant - Fast Casual
Everbrook Academy,"Schools, Tutoring, + Education"
Everclean Car Wash,Car Wash
Everest Apothecary,Cannabis Retail
Evereve,Clothing - Womens
Evergreens,Restaurant - Fast Casual
Everhome Suites,Hotels
Everlane,Clothing - Family/Unisex
Everytable,Restaurant - Fast Casual
Everything But Water,Clothing - Womens
Everything Wine,"Beer, Wine, + Liquor Stores"
"Evolve Med Spa ","Spa, Massage, + Esthetics"
Ewing Outdoor Supply,Home Improvement + Building Supplies
ExamOne,Misc. Health Supplies + Services
Excel Urgent Care,"Hospitals, Urgent Care, + Doctors"
Exceptional Pets,Pet Stores + Supplies
Exchange Bank,Banks + Financial Services
Exclusive Furniture,Furnishings
Executive Home Care,Senior Living
Exer More Than Urgent Care,"Hospitals, Urgent Care, + Doctors"
Exhale Spa,"Spa, Massage, + Esthetics"
Experi Green,Flowers
Express,Clothing - Family/Unisex
Express Care,"Auto Service, Parts, + Tires"
Express Employment Professionals,Staffing/Employment
Express Kitchens,Home + Housewares
Express Lube,"Auto Service, Parts, + Tires"
Express Mart,Gas Stations
Express Oil Change,"Auto Service, Parts, + Tires"
ExpressCare Urgent Care Centers,"Hospitals, Urgent Care, + Doctors"
"Expressions ",Clothing - Family/Unisex
Expressway,Gas Stations
Extended Stay America,Hotels
Extendicare,Senior Living
Extra Foods,Grocery
Extra Space Storage,Storage
Extreme Pita,Restaurant - QSR/Fast Food
ExxonMobil,Gas Stations
ExxonMobil New Zealand,Gas Stations
Exxpress Lube,"Auto Service, Parts, + Tires"
Eye Care Associates of Kentucky,Optical
Eye Lab,Optical
Eye Level,"Schools, Tutoring, + Education"
Eye Med,Optical
Eye-Mart,Optical
EyeCare Associates,Optical
EyeSouth Partners,Optical
Eyecare Partners,Optical
Eyecare Partners - Ophthalmology Consultants,"Hospitals, Urgent Care, + Doctors"
Eyecare Services Partners,Optical
Eyeglass World,Optical
Eyemart Express,Optical
Eyes First Vision Center,Optical
Ez Mart Blarney Castle Oil,Gas Stations
F&F Tire World,"Auto Service, Parts, + Tires"
F21 Red,Clothing - Womens
F45 Training,Gyms + Fitness Facilities
FATZ,Restaurant - Casual
FDIC Insured Bank Branches,Banks + Financial Services
FIELDTRIP,Restaurant - Fast Casual
FLUENT Cannabis Care,Cannabis Retail
"FNB Bank, N.A.",Banks + Financial Services
FOOTWORKS,Footwear
FYE,Music
FYidoctors,Optical
Fabletics,Clothing - Womens
Face Foundrié,"Spa, Massage, + Esthetics"
Face Haus,"Spa, Massage, + Esthetics"
Faconnable,Clothing - Family/Unisex
Factorie,Clothing - Family/Unisex
Factory Connection,Clothing - Family/Unisex
Factory Donuts,Restaurant - QSR/Fast Food
Factory Mattress Sales,Furnishings
Factory Motor Parts Partners Network,"Auto Service, Parts, + Tires"
Faherty Brand,Clothing - Family/Unisex
Faherty Brand - Distributor Locations,Clothing - Family/Unisex
Fairfield Inn & Suites by Marriott,Hotels
Fairmont Hotels & Resorts,Hotels
Fairplay Foods,Grocery
Fairstone Financial,Lending
Fairway Investments,Commercial Properties
Fairway Market,Grocery
Fairweather Clothing,Clothing - Womens
"Fajita Pete's",Restaurant - Casual
Fallas,Discount Stores
Falling Prices,Discount Stores
Familia Dental,Dental
Familiprix,Drug Stores + Pharmacies
Family Auto Service,"Auto Service, Parts, + Tires"
Family Dollar Stores,Discount Stores
Family Express,Convenience Store
Family Fare,Grocery
Family Farm & Home,Agricultural Feed + Seed
Family Foods,Grocery
Family Foods Stores,Grocery
Family Footwear Center,Footwear
Family Fresh Market,Grocery
Family Thrift Center,Clothing - Family/Unisex
Family Tire & Auto Service,"Auto Service, Parts, + Tires"
Family Video,Amusement
Famoso Neapolitan Pizzeria,Restaurant - QSR/Fast Food
"Famous Dave's",Restaurant - Casual
Famous Footwear,Footwear
Famous Hair,Hair
Famous Pawnbrokers,Used Products
Famous Players,Theatres
Famous Toastery,Restaurant - Casual
Famsa,Furnishings
Famsa,Mass Merchant
Fantastic Sams,Hair
Fareway Stores,Grocery
Farm & Home Supply,Agricultural and Industrial Equipment + Supplies
Farm Boy,Grocery
Farm Burger,Restaurant - Fast Casual
Farm Fresh,Grocery
Farm King,Agricultural Feed + Seed
Farm Stores,Convenience Store
Farm Supply Company,Agricultural Feed + Seed
Farmer Boys,Restaurant - QSR/Fast Food
Farmers,Department Store
Farmers & Merchants Bank,Banks + Financial Services
Farmers Home Furniture,Furnishings
Farmfoods,Grocery
Farrell-Calhoun Paint,Home Improvement + Building Supplies
Farrell-Calhoun Paint - Distributor Locations,Home Improvement + Building Supplies
"Farrelli's Pizza",Restaurant - QSR/Fast Food
Farrell?s eXtreme Bodyshaping,Gyms + Fitness Facilities
Farrow & Ball,Home Improvement + Building Supplies
Farrow & Ball International,Home Improvement + Building Supplies
Fas Gas Plus,Gas Stations
Fas Mart,Gas Stations
Fast Cash,Used Products
Fast Eddie?s Car Wash & Oil Change,Car Wash
Fast Food and Fuel,Gas Stations
Fast Pace Urgent Care,"Hospitals, Urgent Care, + Doctors"
Fast Track Urgent Care,"Hospitals, Urgent Care, + Doctors"
Fast-Fix,Jewelry
Fast5Xpress,Car Wash
FastFrame,"Crafts, Toys, and Hobbies"
FastMed Urgent Care,"Hospitals, Urgent Care, + Doctors"
Fastenal,Home Improvement + Building Supplies
Fastrac,Gas Stations
Fastrip,Gas Stations
Fastsigns,"Printing, Copying + Publishing"
Fat Bastard Burrito Co.,Restaurant - Fast Casual
"Fat Boy's Pizza",Restaurant - QSR/Fast Food
Fat Cats Theatres,Theatres
Fat Shack,Restaurant - QSR/Fast Food
Fat Tuesday,Restaurant - Bar/Pub
FatFace,Clothing - Family/Unisex
Fatburger,Restaurant - QSR/Fast Food
Favorite Markets,Gas Stations
"Fazoli's",Restaurant - Fast Casual
FedEx,Shipping
FedEx Express Drop Box Network,Shipping
FedEx Freight,Shipping
FedEx Office Print & Ship Center,"Printing, Copying + Publishing"
Federal Donuts,Restaurant - Bakery/Desserts
Federal Realty Investment Trust,Commercial Properties
Federated Auto Parts,"Auto Service, Parts, + Tires"
Federated Car Care Center,"Auto Service, Parts, + Tires"
Federated Co-operatives (FCL),Grocery
Federated Co-operatives (FCL) Fuel Stations,Gas Stations
Feeders Supply,Pet Stores + Supplies
Feel Rite Fresh Market,Grocery
Fekkai,Hair
Fendi,Clothing - Womens
Fendt,Agricultural and Industrial Equipment + Supplies
Feng Cha,Restaurant - Coffee/Tea
Fenwick UK,Department Store
Ferguson,Home Improvement + Building Supplies
Ferragamo,Footwear
Ferrari,New/Used Car Dealers
Festival Foods,Grocery
Fiat,New/Used Car Dealers
Fiat Canada,New/Used Car Dealers
Fidelis Realty Partners,Commercial Properties
Fidelity Investments,Banks + Financial Services
Fidelity Land,Commercial Properties
Fido Solutions,Communications
Field & Stream,Sports + Recreation
Fields,Department Store
Fiesta Foods,Grocery
Fiesta Fresh Mexican Grill,Restaurant - QSR/Fast Food
Fiesta Mart,Grocery
Fiesta Salons,Hair
Fifth Third Bank,Banks + Financial Services
Fifth Third Bank - ATM Locations,Banks + Financial Services
Fifty Factory,Clothing - Womens
"Figaro's Pizza",Restaurant - QSR/Fast Food
Fiiz Drinks,Restaurant - QSR/Fast Food
Filson,Clothing - Family/Unisex
Financial Plus Credit Union,Banks + Financial Services
Financial Plus Credit Union - Distributor Locations,Banks + Financial Services
Fine Fare Supermarkets,Grocery
Fine Paints of Europe,Home Improvement + Building Supplies
Fine Wine & Good Spirits,"Beer, Wine, + Liquor Stores"
Finish Line,Footwear
Finish Line Car Wash,Car Wash
"FinishMaster ","Auto Service, Parts, + Tires"
Fins Car Wash,Car Wash
"Fionn MacCool's Pub",Restaurant - Bar/Pub
Fire & Flower,Cannabis Retail
Fire Wings,Restaurant - QSR/Fast Food
Fireaway Pizza,Restaurant - QSR/Fast Food
Firebirds Wood Fired Grill,Restaurant - Casual
Fired Pie,Restaurant - Fast Casual
Firehouse Subs,Restaurant - Fast Casual
Firenza Pizza,Restaurant - Fast Casual
Firestone Complete Auto Care,"Auto Service, Parts, + Tires"
Firkin Pubs,Restaurant - Bar/Pub
First Bank,Banks + Financial Services
First Bank NJ,Banks + Financial Services
First Capital Realty,Commercial Properties
First Cash Financial Services,Lending
First Choice Dental,Dental
First Choice Emergency Room,"Hospitals, Urgent Care, + Doctors"
First Choice Haircutters,Hair
First Citizens Bank,Banks + Financial Services
First Class Cleaners,Cleaning
First Farmers & Merchants Bank,Banks + Financial Services
First Hartford,Commercial Properties
First Horizon,Banks + Financial Services
First Interstate Bank,Banks + Financial Services
First National Bank,Banks + Financial Services
First National Bank - Distributor Locations,Banks + Financial Services
First New York Federal Credit Union,Banks + Financial Services
First New York Federal Credit Union - Distributor Locations,Banks + Financial Services
First Washington Realty,Commercial Properties
First Watch Restaurants,Restaurant - Casual
FirstBank,Banks + Financial Services
FirstLight,Banks + Financial Services
Fish City Grill,Restaurant - Casual
Fisher Auto Parts,"Auto Service, Parts, + Tires"
Fit Body Boot Camp,Gyms + Fitness Facilities
Fit Republic,Gyms + Fitness Facilities
Fit4Less,Gyms + Fitness Facilities
FitZone for Women,Gyms + Fitness Facilities
Fitlife Foods,Food Retail (Non-Grocers)
Fitness 19,Gyms + Fitness Facilities
Fitness Connection,Gyms + Fitness Facilities
Fitness Evolution,Gyms + Fitness Facilities
Fitness Factory Health Club,Gyms + Fitness Facilities
Fitness For $10,Gyms + Fitness Facilities
Fitness Formula Clubs (FFC),Gyms + Fitness Facilities
Fitness Headquarters,Gyms + Fitness Facilities
Fitness One,Gyms + Fitness Facilities
Fitness Premier,Gyms + Fitness Facilities
Fitness Together,Gyms + Fitness Facilities
Fitness Unlimited,Gyms + Fitness Facilities
Fitworks,Gyms + Fitness Facilities
Five Below,Discount Stores
Five Guys,Restaurant - QSR/Fast Food
Five Iron Golf,Amusement
Five Star Bank,Banks + Financial Services
Five Star Food Mart,Convenience Store
Five Star Senior Living,Misc. Health Supplies + Services
Fix Auto,"Auto Service, Parts, + Tires"
Fjällräven,Sports + Recreation
Flagship Carwash,Car Wash
Flagstar Bank,Banks + Financial Services
Flagstop Car Wash,Car Wash
Flanigan?s,Restaurant - Bar/Pub
Flannels,Clothing - Family/Unisex
Flash Foods,Convenience Store
Fleet Feet Sports,Clothing - Family/Unisex
FleetPride,"Auto Service, Parts, + Tires"
Fleming?s Prime Steakhouse and Wine Bar,Restaurant - Fine Dining
Flight Centre Canada,Travel
"Flipper's Pizzeria",Restaurant - Fast Casual
"Flippin' Pizza",Restaurant - QSR/Fast Food
"Flo Charging Stations ",EV Charging Stations
Floor & Decor,Home Improvement + Building Supplies
Flooring America,Home Improvement + Building Supplies
Florida Hospital Association,Misc. Health Supplies + Services
Florida Paints,Home Improvement + Building Supplies
"Florida Vet Path ","Hospitals, Urgent Care, + Doctors"
Flourish Research,Misc. Health Supplies + Services
Flower Child,Restaurant - Casual
"Floyd's 99 Barbershop",Hair
Flying Ace Express Car Wash,Car Wash
Flying Biscuit Café,Restaurant - Casual
"Flynn's Tire","Auto Service, Parts, + Tires"
Flywheel,Gyms + Fitness Facilities
Fnac,Computers + Consumer Electronics
Fogo de Chão,Restaurant - Fine Dining
Follett,Books
Food 4 Less,Grocery
Food 4 Less (California),Grocery
Food Basics Canada,Grocery
Food Bazaar Supermarket,Grocery
Food City,Grocery
Food City - Southwest,Grocery
Food Country USA,Grocery
Food Depot,Grocery
Food Dynasty,Grocery
Food Fair Markets,Grocery
Food Fast,Gas Stations
Food Giant,Grocery
Food King,Grocery
Food Lion,Grocery
Food Pride,Grocery
Food Pyramid,Grocery
Food Source,Grocery
Food Universe Marketplace,Grocery
Food World,Grocery
FoodMaxx Supermarkets,Grocery
FoodWorks Australia,Grocery
Foodarama,Grocery
Foodland,Grocery
Foodland (Hawaii),Grocery
Foodland Australia,Grocery
Foodland Canada,Grocery
Foodland Grocery (Alabama),Grocery
Foodsco,Grocery
Foodtown,Grocery
Foodwise,Grocery
Foosackly?s,Restaurant - QSR/Fast Food
Foot Locker,Footwear
Foot Solutions,Footwear
Footaction,Footwear
Footy Rooty,"Spa, Massage, + Esthetics"
For Eyes Optical,Optical
Ford Motor Company,New/Used Car Dealers
Ford Motor Company Canada,New/Used Car Dealers
Fords Garage,Restaurant - Casual
Forest Hills Foods,Grocery
Forever 21,Clothing - Family/Unisex
Forever Yogurt,Restaurant - Bakery/Desserts
Fork And Salad,Restaurant - QSR/Fast Food
Forman Mills,Clothing - Family/Unisex
Fortinos,Grocery
Forward Dental,Dental
"Foss Swim School ","Schools, Tutoring, + Education"
Fossil,Jewelry
Fossil - Distributor Locations,Jewelry
Fosters Freeze,Restaurant - Bakery/Desserts
Fosters Hollywood,Restaurant - Casual
Founders Insurance,Insurance
Founders3,Commercial Properties
Fountain Tire,"Auto Service, Parts, + Tires"
Four Points By Sheraton,Hotels
Four Seasons Hotels and Resorts,Hotels
Four Star Fitness,Gyms + Fitness Facilities
Fox & Fiddle Pub,Restaurant - Bar/Pub
Fox & Hound,Restaurant - Bar/Pub
Fox Rent A Car,Car + Truck Rentals
Fox Restaurant Concepts,Restaurant Group
"Fox's Pizza Den",Restaurant - QSR/Fast Food
Foxtail Coffee,Restaurant - Coffee/Tea
Foxtrot,Restaurant - Fast Casual
Fp Wellness,Cannabis Retail
Fractured Prune,Restaurant - Bakery/Desserts
Fragrance Outlet,Cosmetics + Beauty Supplies
Frame,Clothing - Family/Unisex
Framebridge,Furnishings
"Francesca's",Clothing - Womens
Francis & Sons Car Wash,Car Wash
Franciscan Alliance,"Hospitals, Urgent Care, + Doctors"
"Franco's Madeville",Gyms + Fitness Facilities
Frank Pepe Pizzeria Napoletana,Restaurant - QSR/Fast Food
"Frank's Car Wash",Car Wash
Franklin Synergy Bank,Banks + Financial Services
Franks Discount Tire,"Auto Service, Parts, + Tires"
Frattallone?s Hardware & Garden,Home Improvement + Building Supplies
Fred Loya Insurance Agency,Insurance
Fred Meyer,Grocery
Fred Meyer Jewelers,Jewelry
"Fred's",Grocery
"Fred's Pharmacy",Drug Stores + Pharmacies
Freddy Fresh Germany,Restaurant - QSR/Fast Food
"Freddy's Frozen Custard",Restaurant - Fast Casual
Frederic Malle,Cosmetics + Beauty Supplies
Frederic Malle - Distributor Locations,Cosmetics + Beauty Supplies
Freds at Barneys,Restaurant - Fine Dining
Free People,Clothing - Womens
"Free People Movement ",Clothing - Womens
Free Service Tire Company,"Auto Service, Parts, + Tires"
Freebird Stores,Clothing - Family/Unisex
Freebirds World Burrito,Restaurant - Fast Casual
Freedom Boat Club,Amusement
Freedom Mobile,Communications
Freedom Plasma,Misc. Health Supplies + Services
Freeman Health System,"Hospitals, Urgent Care, + Doctors"
Freeway Insurance Services,Insurance
Freewheel Bike,Sports + Recreation
Freightliner,"Auto Service, Parts, + Tires"
"Fresca's Mexican Grill",Restaurant - Fast Casual
Fresco y Más,Grocery
Fresenius Medical Care North America,"Hospitals, Urgent Care, + Doctors"
Fresh,Cosmetics + Beauty Supplies
Fresh Baguette,Restaurant - Fast Casual
Fresh Brothers,Restaurant - Casual
Fresh City,Restaurant - Fast Casual
Fresh Foods IGA,Grocery
Fresh Healthy Cafe,Restaurant - Fast Casual
"Fresh International Market ",Grocery
Fresh Kitchen,Restaurant - Fast Casual
"Fresh N' Low",Grocery
Fresh Point,Food Retail (Non-Grocers)
Fresh St. Market,Grocery
Fresh Thyme,Grocery
Fresh Value,Grocery
Fresh Vitamins,"Vitamins, Nutrition, and Supplements"
Fresh and Natural Foods,Grocery
